timestamp,application_id,device_eui,event_type,frame_count,port,raw_data_base64,raw_data_hex,data_size_bytes,spreading_factor,bandwidth,frequency,code_rate,gateway_id,rssi,snr,channel,ascii_data
2025-07-07 20:56:29,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,71,8,eyJkIjpbMzAuNSwyMC41XSwic2YiOjEyLCJ0IjoxMzR9,7B2264223A5B33302E352C32302E355D2C227366223A31322C2274223A3133347D,33,12,125000,868300000,CR_4_5,aa555a0000000000,-29,12.5,1,"{""d"":[30.5,20.5],""sf"":12,""t"":134}"
2025-07-07 20:56:47,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,72,8,eyJkIjpbMzEuNSwxOS41XSwic2YiOjcsInQiOjEzNn0=,7B2264223A5B33312E352C31392E355D2C227366223A372C2274223A3133367D,32,7,125000,868100000,CR_4_5,aa555a0000000000,-29,13.8,,"{""d"":[31.5,19.5],""sf"":7,""t"":136}"
2025-07-07 20:57:06,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,73,8,eyJkIjpbMzEuMSwxOS40XSwic2YiOjgsInQiOjEzOH0=,7B2264223A5B33312E312C31392E345D2C227366223A382C2274223A3133387D,32,8,125000,868300000,CR_4_5,aa555a0000000000,-26,15.2,1,"{""d"":[31.1,19.4],""sf"":8,""t"":138}"
2025-07-07 20:57:24,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,74,8,eyJkIjpbMzEuMywxOS42XSwic2YiOjksInQiOjEzOX0=,7B2264223A5B33312E332C31392E365D2C227366223A392C2274223A3133397D,32,9,125000,868100000,CR_4_5,aa555a0000000000,-26,12.5,,"{""d"":[31.3,19.6],""sf"":9,""t"":139}"
2025-07-07 20:57:43,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,75,8,eyJkIjpbMzAuNCwxOS44XSwic2YiOjEwLCJ0IjoxNDF9,7B2264223A5B33302E342C31392E385D2C227366223A31302C2274223A3134317D,33,10,125000,868300000,CR_4_5,aa555a0000000000,-26,13.0,1,"{""d"":[30.4,19.8],""sf"":10,""t"":141}"
2025-07-07 20:58:02,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,76,8,eyJkIjpbMzAuMywxOS44XSwic2YiOjExLCJ0IjoxNDN9,7B2264223A5B33302E332C31392E385D2C227366223A31312C2274223A3134337D,33,11,125000,868500000,CR_4_5,aa555a0000000000,-26,8.5,2,"{""d"":[30.3,19.8],""sf"":11,""t"":143}"
2025-07-07 20:58:22,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,77,8,eyJkIjpbMjkuMywyMC4xXSwic2YiOjEyLCJ0IjoxNDV9,7B2264223A5B32392E332C32302E315D2C227366223A31322C2274223A3134357D,33,12,125000,868300000,CR_4_5,aa555a0000000000,-26,12.5,1,"{""d"":[29.3,20.1],""sf"":12,""t"":145}"
2025-07-07 20:58:40,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,78,8,eyJkIjpbMjkuMiwxOS45XSwic2YiOjcsInQiOjE0N30=,7B2264223A5B32392E322C31392E395D2C227366223A372C2274223A3134377D,32,7,125000,868500000,CR_4_5,aa555a0000000000,-24,11.8,2,"{""d"":[29.2,19.9],""sf"":7,""t"":147}"
2025-07-07 20:58:58,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,79,8,eyJkIjpbMjguOSwxOS43XSwic2YiOjgsInQiOjE0OX0=,7B2264223A5B32382E392C31392E375D2C227366223A382C2274223A3134397D,32,8,125000,868100000,CR_4_5,aa555a0000000000,-25,14.2,,"{""d"":[28.9,19.7],""sf"":8,""t"":149}"
2025-07-07 20:59:17,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,80,8,eyJkIjpbMjkuMiwyMC4wXSwic2YiOjksInQiOjE1MX0=,7B2264223A5B32392E322C32302E305D2C227366223A392C2274223A3135317D,32,9,125000,868300000,CR_4_5,aa555a0000000000,-24,12.2,1,"{""d"":[29.2,20.0],""sf"":9,""t"":151}"
2025-07-07 20:59:35,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,81,8,eyJkIjpbMzAuMSwxOS4xXSwic2YiOjEwLCJ0IjoxNTJ9,7B2264223A5B33302E312C31392E315D2C227366223A31302C2274223A3135327D,33,10,125000,868500000,CR_4_5,aa555a0000000000,-23,9.8,2,"{""d"":[30.1,19.1],""sf"":10,""t"":152}"
2025-07-07 20:59:54,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,82,8,eyJkIjpbMjkuMywxOC41XSwic2YiOjExLCJ0IjoxNTR9,7B2264223A5B32392E332C31382E355D2C227366223A31312C2274223A3135347D,33,11,125000,868300000,CR_4_5,aa555a0000000000,-22,11.0,1,"{""d"":[29.3,18.5],""sf"":11,""t"":154}"
2025-07-07 20:59:54,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,82,8,eyJkIjpbMjkuMywxOC41XSwic2YiOjExLCJ0IjoxNTR9,7B2264223A5B32392E332C31382E355D2C227366223A31312C2274223A3135347D,33,11,125000,867300000,CR_4_5,aa555a0000000000,-99,-15.5,4,"{""d"":[29.3,18.5],""sf"":11,""t"":154}"
2025-07-07 21:10:50,25fd7890-9fa0-4b65-91c8-2d4159673db0,78563412efbeadde,up,117,8,eyJkIjpbMzQuMSwxOC42XSwic2YiOjEwLCJ0IjoyMjB9,7B2264223A5B33342E312C31382E365D2C227366223A31302C2274223A3232307D,33,10,125000,868300000,CR_4_5,aa555a0000000000,-26,14.0,1,"{""d"":[34.1,18.6],""sf"":10,""t"":220}"
